metadata,Citation,URL,Number of Data Points
hymenoptera_Greenleaf_et_al_2007,"Greenleaf, S. S., Williams, N. M., Winfree, R., & Kremen, C. (2007). Bee foraging ranges and their relationship to body size. Oecologia, 153, 589?596. ",https://doi.org/10.1007/s00442-007-0752-9,58
hymenoptera_Jauker_et_al_2013,"Jauker, B., Krauss, J., Jauker, F., & Steffan-Dewenter, I. (2013). Linking life history traits to pollinator loss in fragmented calcareous grasslands. Landscape Ecology, 28, 107?120. ",https://doi.org/10.1007/s10980-012-9820-6,223
hymenoptera_Penney_et_al_2012,"Penney, H. D., Hassall, C., Skevington, J. H., Abbott, K. R., & Sherratt, T. N. (2012). A comparative analysis of the evolution of imperfect mimicry. Nature, 483(7390), 461?464. ",https://doi.org/10.1038/nature10961,157
hymenoptera_Sayol_et_al_2020,"Sayol, F., Collado, M. ?., Garcia-Porta, J., Seid, M. A., Gibbs, J., Agorreta, A., San Mauro, D., Raemakers, I., Sol, D., & Bartomeus, I. (2020). Feeding specialization and longer generation time are associated with relatively larger brains in bees. Proceedings of the Royal Society B, 287(1935), 20200762. ",https://doi.org/10.1098/rspb.2020.0762,191
insecta_Blanckenhorn_et_al_2007,"Blanckenhorn, W. U., Meier, R., & Teder, T. (2007). Rensch?s rule in insects: Patterns among and within species. In D. J. Fairbairn, W. U. Blanckenhorn, & T. SzÇkely (Eds.), Sex, Size and Gender Roles (1st ed., pp. 60?70). Oxford University PressOxford. ",https://academic.oup.com/book/12169/chapter/161597040,89
insecta_Burrows_2011,"Burrows, M. (2011). Jumping mechanisms and performance of snow fleas (Mecoptera, Boreidae). Journal of Experimental Biology, 214(14), 2362?2374. ",https://doi.org/10.1242/jeb.056689,11
insecta_Evans_et_al_2020,"Evans, M. J., Wallman, J. F., & Barton, P. S. (2020). Traits reveal ecological strategies driving carrion insect community assembly. Ecological Entomology, 45(5), 966?977. ",https://doi.org/10.1111/een.12869,9
insecta_Fagan_et_al_2002,"Fagan, W. F., Siemann, E., Mitter, C., Denno, R. F., Huberty, A. F., Woods, H. A., & Elser, J. J. (2002). Nitrogen in insects: Implications for trophic complexity and species diversification. The American Naturalist, 160(6), 784?802. ",https://doi.org/10.1086/343879,102
insecta_Gilbert_and_Manica_2010,"Gilbert, J. D., & Manica, A. (2010). Parental care trade-offs and life-history relationships in insects. The American Naturalist, 176(2), 212?226. ",https://doi.org/10.1086/653661,291
insecta_Gossner_and_Muller_2011,"Gossner, M. M., & MÅller, J. (2011). The influence of species traits and q-metrics on scale-specific ?-diversity components of arthropod communities of temperate forests. Landscape Ecology, 26, 411?424. ",https://doi.org/10.1007/s10980-010-9568-9,461
insecta_Gossner_et_al_2015,"Gossner, M. M., Simons, N. K., Achtziger, R., Blick, T., Dorow, W. H., Dziock, F., Kîhler, F., Rabitsch, W., & Weisser, W. W. (2015). A summary of eight traits of Coleoptera, Hemiptera, Orthoptera and Araneae, occurring in grasslands in Germany. Scientific Data, 2(1), 1?9. ",https://doi.org/10.1038/sdata.2015.13,1225
insecta_Grass_et_al_2014,"Grass, I., Berens, D. G., & Farwig, N. (2014). Natural habitat loss and exotic plants reduce the functional diversity of flower visitors in a heterogeneous subtropical landscape. Functional Ecology, 28(5), 1117?1126. ",https://doi.org/10.1111/1365-2435.12285,50
insecta_Horne_et_al_2015,"Horne, C. R., Hirst, A. G., & Atkinson, D. (2015). Temperature-size responses match latitudinal-size clines in arthropods, revealing critical differences between aquatic and terrestrial species. Ecology Letters, 18(4), 327?335. ",https://doi.org/10.1111/ele.12413,87
insecta_Horne_et_al_2018,"Horne, C. R., Hirst, A. G., & Atkinson, D. (2018). Insect temperature?body size trends common to laboratory, latitudinal and seasonal gradients are not found across altitudes. Functional Ecology, 32(4), 948?957. ",https://doi.org/10.1111/1365-2435.13031,108
insecta_Johnston_and_Cunjak_1999,"Johnston, T. A., & Cunjak, R. A. (1999). Dry mass?length relationships for benthic insects: A review with new data from Catamaran Brook, New Brunswick, Canada. Freshwater Biology, 41(4), 653?674. ",https://doi.org/10.1046/j.1365-2427.1999.00400.x,43
insecta_Kandori_2002,"Kandori, I. (2002). Diverse visitors with various pollinator importance and temporal change in the important pollinators of Geranium thunbergii (Geraniaceae). Ecological Research, 17, 283?294. ",https://doi.org/10.1046/j.1440-1703.2002.00488.x,43
insecta_Kendall_et_al_2019,"Kendall, L. K., Rader, R., Gagic, V., Cariveau, D. P., Albrecht, M., Baldock, K. C., Freitas, B. M., Hall, M., Holzschuh, A., Molina, F. P., & others. (2019). Pollinator size and its consequences: Robust estimates of body size in pollinating insects. Ecology and Evolution, 9(4), 1702?1714. ",https://doi.org/10.1002/ece3.4835,480
insecta_Keppeler_et_al_2021,"Keppeler, F. W., Olin, J. A., L¢pez-Duarte, P. C., Polito, M. J., Hooper-Bói, L. M., Taylor, S. S., Rabalais, N. N., Fodrie, F. J., Roberts, B. J., Turner, R. E., & others. (2021). Body size, trophic position, and the coupling of different energy pathways across a saltmarsh landscape. Limnology and Oceanography Letters, 6(6), 360?368. ",https://doi.org/10.1002/lol2.10212,41
insecta_Kuhsel_and_Bluthgen_2015,"KÅhsel, S., & BlÅthgen, N. (2015). High diversity stabilizes the thermal resilience of pollinator communities in intensively managed grasslands. Nature Communications, 6(1), 7989. ",https://doi.org/10.1038/ncomms8989,718
insecta_Loeffler-Henry_et_al_2019,"Loeffler-Henry, K., Kang, C., & Sherratt, T. N. (2019). Consistent associations between body size and hidden contrasting color signals across a range of insect taxa. The American Naturalist, 194(1), 28?37. ",https://doi.org/10.1086/703535,179
insecta_Lopez-Uribe_et_al_2016,"L¢pez-Uribe, M. M., Sconiers, W. B., Frank, S. D., Dunn, R. R., & Tarpy, D. R. (2016). Reduced cellular immune response in social insect lineages. Biology Letters, 12(3), 20150984. ",https://doi.org/10.1098/rsbl.2015.0984,52
insecta_Malmqvist_2000,"Malmqvist, B. (2000). How does wing length relate to distribution patterns of stoneflies (Plecoptera) and mayflies (Ephemeroptera)? Biological Conservation, 93(2), 271?276. ",https://doi.org/10.1016/S0006-3207(99)00139-1,58
insecta_Melliger_et_al_2017,"Melliger, R. L., Rusterholz, H.-P., & Baur, B. (2017). Habitat- and matrix-related differences in species diversity and trait richness of vascular plants, Orthoptera and Lepidoptera in an urban landscape. Urban Ecosystems, 20(5), 1095?1107. ",https://doi.org/10.1007/s11252-017-0662-5,283
insecta_Miyasaka_et_al_2008,"Miyasaka, H., Genkai-Kato, M., Miyake, Y., Kishi, D., Katano, I., Doi, H., Ohba, S., & Kuhara, N. (2008). Relationships between length and weight of freshwater macroinvertebrates in Japan. Limnology, 9(1), 75?80. ",https://doi.org/10.1007/s10201-008-0238-4,1
insecta_Phillips_et_al_2018,"Phillips, B. B., Williams, A., Osborne, J. L., & Shaw, R. F. (2018). Shared traits make flies and bees effective pollinators of oilseed rape (Brassica napus L.). Basic and Applied Ecology, 32, 66?76. ",https://doi.org/10.1016/j.baae.2018.06.004,94
insecta_Pincebourde_et_al_2021,"Pincebourde, S., Dillon, M. E., & Woods, H. A. (2021). Body size determines the thermal coupling between insects and plant surfaces. Functional Ecology, 35(7), 1424?1436. ",https://doi.org/10.1111/1365-2435.13801,8
insecta_Roquer-Beni_et_al_2020,"Roquer-Beni, L., Rodrigo, A., Arnan, X., Klein, A.-M., Fornoff, F., Boreux, V., & Bosch, J. (2020). A novel method to measure hairiness in bees and other insect pollinators. Ecology and Evolution, 10(6), 2979?2990. ",https://doi.org/10.1002/ece3.6112,285
insecta_Taylor_et_al_2016,"Taylor, C. H., Reader, T., & Gilbert, F. (2016). Why many Batesian mimics are inaccurate: Evidence from hoverfly colour patterns. Proceedings of the Royal Society B: Biological Sciences, 283(1842), 20161585. ",https://doi.org/10.1098/rspb.2016.1585,198
insecta_Towers_et_al_1994,"Towers, D. J., Henderson, I. M., & Veltman, C. J. (1994). Predicting dry weight of New Zealand aquatic macroinvertebrates from linear dimensions. New Zealand Journal of Marine and Freshwater Research, 28(2), 159?166. ",https://doi.org/10.1080/00288330.1994.9516604,4
insecta_Ulrich_unpublished,"Ulrich, W., & Szpila, K. (2008). Body size distributions of eastern European Diptera. Pol. J. Ecol, 56(4), 557?568.",https://www.researchgate.net/publication/290545151_The_Hymenoptera_of_a_dry_meadow_on_limestone_Species_composition_abundance_and_biomass,3092
insecta_Ulrich_unpublished,"Ulrich, W. (2007). Body weight distributions of central European Coleoptera. European Journal of Entomology, 104(4), 769.",https://www.eje.cz/pdfs/eje/2007/04/19.pdf,3092
insecta_Ulrich_unpublished,"Ulrich, W. (2006). Body weight distributions of European Hymenoptera. Oikos, 114(3), 518?528. https://doi.org/10.1111/j.2006.0030-1299.14839.x",https://doi.org/10.1111/j.2006.0030-1299.14839.x,3092
insecta_Ulrich_unpublished,"Ulrich, W. (2005). The hymenoptera of a meadow on limestone: Ecological patterns of a local animal community. Forschungsbericht Zentrum FÅr Waldschadensforschung, 195, 1?203.",https://www.researchgate.net/publication/290545151_The_Hymenoptera_of_a_dry_meadow_on_limestone_Species_composition_abundance_and_biomass,3092
insecta_Woodcock_et_al_2019,"Woodcock, B. A., Garratt, M., Powney, G., Shaw, R., Osborne, J., Soroka, J., Lindstrîm, S., Stanley, D., Ouvrard, P., Edwards, M., & others. (2019). Meta-analysis reveals that pollinator functional diversity and abundance enhance crop pollination and yield. Nature Communications, 10(1), 1481. ",https://doi.org/10.1038/s41467-019-09393-6,105
insecta_Zeuss_et_al_2017,"Zeuss, D., Brunzel, S., & Brandl, R. (2017). Environmental drivers of voltinism and body size in insect assemblages across Europe. Global Ecology and Biogeography, 26(2), 154?165. ",https://doi.org/10.1111/geb.12525,1233
insecta_van_Klink_et_al_2019,"Van Klink, R., Menz, M. H., Baur, H., Dosch, O., KÅhne, I., Lischer, L., Luka, H., Meyer, S., Szikora, T., UnternÑhrer, D., & others. (2019). Larval and phenological traits predict insect community response to mowing regime manipulations. Ecological Applications, 29(4), e01900. ",https://doi.org/10.1002/eap.1900,620
labridae_Arnal_et_al_2006,"Arnal, C., Verneau, O., & Desdevises, Y. (2006). Phylogenetic relationships and evolution of cleaning behaviour in the family Labridae: Importance of body colour pattern. Journal of Evolutionary Biology, 19(3), 755?763. ",https://doi.org/10.1111/j.1420-9101.2005.01059.x,36
lampyridae_Lower_et_al_2017,"Lower, S. S., Johnston, J. S., Stanger-Hall, K. F., Hjelmen, C. E., Hanrahan, S. J., Korunes, K., & Hall, D. (2017). Genome size in North American fireflies: Substantial variation likely driven by neutral processes. Genome Biology and Evolution, 9(6), 1499?1512.",https://doi.org/10.1093/gbe/evx097,6
lepidoptera_Aiello_et_al_2021b,"Aiello, B. R., Tan, M., Bin Sikandar, U., Alvey, A. J., Bhinderwala, B., Kimball, K. C., Barber, J. R., Hamilton, C. A., Kawahara, A. Y., & Sponberg, S. (2021). Adaptive shifts underlie the divergence in wing morphology in bombycoid moths. Proceedings of the Royal Society B, 288(1956), 20210677. ",https://doi.org/10.1098/rspb.2021.0677,68
lepidoptera_Choi_et_al_unpublished,"Shin, Y. H. (2001). Coloured illustrations of the moths of Korea. Academybook Publishing. ",https://www.pemberleybooks.com/product/illustrated-catalogue-of-moths-in-korea-1.-sphingidae-bombicoidea-notodontidae.-insects-of-korea-4/2738/,451
lepidoptera_Choi_et_al_unpublished,"An, J., Choi, S., Kim, T., & Yang, B. (2012). Moth diversity and distribution of Mt Jirisan national long-term ecological research site google. National Institute of Environmental Research, Incheon. ",https://www.semanticscholar.org/paper/%EB%82%98%EB%B0%A9-%EB%8B%A4%EC%96%91%EC%84%B1%EA%B3%BC-%EB%B6%84%ED%8F%AC-%3A-%EC%A7%80%EB%A6%AC%EC%82%B0-%EA%B5%AD%EA%B0%80%EC%9E%A5%EA%B8%B0%EC%83%9D%ED%83%9C%EC%97%B0%EA%B5%AC-%EC%A1%B0%EC%82%AC%EC%A7%80%EC%9D%98-%3D-Moth-diversity-and-%EC%95%88-%EC%B5%9C/cebaae5b75b8e475b329a8dbcc5625b9342b4dbc,451
lepidoptera_Choi_et_al_unpublished,"An, J. S., Choi, S. W., Lee, S., & Jung, S. H. (2016). Moth diversity and distribution on Mt. Hallasan National Park. National Institute of Ecology.",NA,451
lepidoptera_Cook_et_al_2021,"Cook, P., Tordoff, G., Davis, A., Parsons, M., Dennis, E., Fox, R., Botham, M., & Bourn, N. (2021). Traits data for the butterflies and macro-moths of Great Britain and Ireland, 2021. Ecology, 103(5), e3670. ",https://doi.org/10.5285/5b5a13b6-2304-47e3-9c9d-35237d1232c6,2198
lepidoptera_Correa-Carmona_et_al_2021,"Correa-Carmona, Y., Rougerie, R., Arnal, P., Ballesteros-Mejia, L., Beck, J., DolÇdec, S., Ho, C., Kitching, I. J., Lavelle, P., Le Clec?h, S., & others. (2022). Functional and taxonomic responses of tropical moth communities to deforestation. Insect Conservation and Diversity, 15(2), 236?247. ",https://doi.org/10.1111/icad.12549,21
lepidoptera_Crist_and_Bean_unpublished,"Ockinger, E. (n.d.). Unpublished data for lepidoptera from Ohio.",NA,143
lepidoptera_Davis_et_al_2007,"Davis, J. D., Debinski, D. M., & Danielson, B. J. (2007). Local and landscape effects on the butterfly community in fragmented Midwest USA prairie habitats. Landscape Ecology, 22, 1341?1354. ",https://doi.org/10.1007/s10980-007-9111-9,148
lepidoptera_Debinski_et_al_2001,"Debinski, D. M., Ray, C., & Saveraid, E. H. (2001). Species diversity and the scale of the landscape mosaic: Do scales of movement and patch size affect diversity? Biological Conservation, 98(2), 179?190. ",https://doi.org/10.1016/S0006-3207(00)00153-1,176
lepidoptera_Franzen_et_al_2020,"FranzÇn, M., Betzholtz, P.-E., Pettersson, L. B., & Forsman, A. (2020). Urban moth communities suggest that life in the city favours thermophilic multi-dimensional generalists. Proceedings of the Royal Society B, 287(1928), 20193014. ",https://doi.org/10.1098/rspb.2019.3014,1845
lepidoptera_Garcia-Barros_2015,"Garc°a-Barros Saura, E. & others. (2015). Multivariate indices as estimates of dry body weight for comparative study of body size in Lepidoptera. Nota Lepidopterologica. ",https://www.doi.org/10.3897/nl.38.8957,321
lepidoptera_Hamback_et_al_2007,"HambÑck, P. A., Summerville, K. S., Steffan-Dewenter, I., Krauss, J., Englund, G., & Crist, T. O. (2007). Habitat specialization, body size, and family identity explain lepidopteran density?area relationships in a cross-continental comparison. Proceedings of the National Academy of Sciences, 104(20), 8368?8373. ",https://doi.org/10.1073/pnas.0611462104,406
lepidoptera_Heidrich_et_al_2021,"Heidrich, L., Pinkert, S., Brandl, R., BÑssler, C., Hacker, H., Roth, N., Busse, A., MÅller, J., & Friess, N. (2021). Noctuid and geometrid moth assemblages show divergent elevational gradients in body size and color lightness. Ecography, 44(8), 1169?1179. ",https://doi.org/10.1111/ecog.05558,668
lepidoptera_Heidrich_et_al_unpublished,"Heidrich, L. (n.d.). Unpublished data on lepidoptera (moths) for all macrolepidoptera in Germany.",NA,1916
lepidoptera_Janzen_1984,"Janzen, D. H. (1984). Two ways to be a tropical big moth: Santa Rosa saturniids and sphingids. ",http://copa.acguanacaste.ac.cr:8080/bitstream/handle/11606/1311/Two%20ways%20to%20be%20a%20tropical%20big%20moth%20Santa%20Rosa%20saturniids%20and%20sphingids.pdf?sequence=1,33
lepidoptera_Kinsella_et_al_2020,"Kinsella, R. S., Thomas, C. D., Crawford, T. J., Hill, J. K., Mayhew, P. J., & Macgregor, C. J. (2020). Unlocking the potential of historical abundance datasets to study biomass change in flying insects. Ecology and Evolution, 10(15), 8394?8404. ",https://doi.org/10.1002/ece3.6546,303
lepidoptera_Mertens_et_al_2021,"Mertens, J. E., Brisson, L., Jane?ek, ?., Klomberg, Y., Maicher, V., S†fi†n, S., Delabye, S., Potock?, P., Kobe, I. N., Pyrcz, T., & others. (2021). Elevational and seasonal patterns of butterflies and hawkmoths in plant-pollinator networks in tropical rainforests of Mount Cameroon. Scientific Reports, 11(1), 1?12. ",https://doi.org/10.1038/s41598-021-89012-x,5
lepidoptera_Middleton-Welling_et_al_2020,"Middleton-Welling, J., Dapporto, L., Garc°a-Barros, E., Wiemers, M., Nowicki, P., Plazio, E., Bonelli, S., Zaccagno, M., ?a?i?, M., Liparova, J., & others. (2020). A new comprehensive trait database of European and Maghreb butterflies, Papilionoidea. Scientific Data, 7(1), 351. ",https://doi.org/10.1038/s41597-020-00697-7,701
lepidoptera_Ockinger_et_al_2010,"ôckinger, E., Schweiger, O., Crist, T. O., Debinski, D. M., Krauss, J., Kuussaari, M., Petersen, J. D., Pîyry, J., Settele, J., Summerville, K. S., & others. (2010). Life-history traits predict species responses to habitat area and isolation: A cross-continental synthesis. Ecology Letters, 13(8), 969?979. ",https://doi.org/10.1111/j.1461-0248.2010.01487.x,1618
lepidoptera_Potocky_et_al_2018,"Potock?, P., Barto?ov†, A., Bene?, J., Zapletal, M., & Konvi?ka, M. (2018). Life-history traits of Central European moths: Gradients of variation and their association with rarity and threats. Insect Conservation and Diversity, 11(5), 493?505. ",https://doi.org/10.1111/icad.122911,1774
lepidoptera_Rabl_et_al_2020,"Rabl, D., Alonso-Rodr°guez, A. M., Brehm, G., & Fiedler, K. (2020). Trait variation in moths mirrors small-scaled ecological gradients in a tropical forest landscape. Insects, 11(9), 612. ",https://doi.org/10.3390/insects11090612,2
lepidoptera_Ribeiro_and_Freitas_2011,"Ribeiro, D. B., & Freitas, A. V. (2011). Large-sized insects show stronger seasonality than small-sized ones: A case study of fruit-feeding butterflies. Biological Journal of the Linnean Society, 104(4), 820?827. ",https://doi.org/10.1111/j.1095-8312.2011.01771.x,4
lepidoptera_Schmidt_and_Roland_2006,"Schmidt, N., & Roland, J. (2006). Moth diversity in a fragmented habitat: Importance of functional groups and landscape scale in the boreal forest. Annals of the Entomological Society of America, 99(6), 1110?1120. ",https://doi.org/10.1603/0013-8746(2006)99[1110:MDIAFH]2.0.CO;2,223
lepidoptera_Shirey_et_al_2022,"Shirey, V., Larsen, E., Doherty, A., Kim, C. A., Al-Sulaiman, F. T., Hinolan, J. D., Itliong, M. G. A., Naive, M. A. K., Ku, M., Belitz, M., & others. (2022). LepTraits 1.0 A globally comprehensive dataset of butterfly traits. Scientific Data, 9(1), 382. ",https://doi.org/10.1038/s41597-022-01473-5,1629
lepidoptera_Summerville_and_Crist_2004,"Summerville, K. S., & Crist, T. O. (2004). Contrasting effects of habitat quantity and quality on moth communities in fragmented landscapes. Ecography, 27(1), 3?12. ",https://doi.org/10.1111/j.0906-7590.2004.03664.x,407
lepidoptera_Summerville_et_al_2003,"Summerville, K. S., Boulware, M. J., Veech, J. A., & Crist, T. O. (2003). Spatial variation in species diversity and composition of forest Lepidoptera in eastern deciduous forests of North America. Conservation Biology, 17(4), 1045?1057. ",https://doi.org/10.1046/j.1523-1739.2003.02059.x,261
lepidoptera_Swanson_et_al_2016,"Swanson, E. M., Espeset, A., Mikati, I., Bolduc, I., Kulhanek, R., White, W. A., Kenzie, S., & Snell-Rood, E. C. (2016). Nutrition shapes life-history evolution across species. Proceedings of the Royal Society B: Biological Sciences, 283(1834), 20152764. ",https://doi.org/10.1098/rspb.2015.2764,261
lepidoptera_Swengel_and_Swengel_2001,"Swengel, A. B., & Swengel, S. R. (2001). Effects of prairie and barrens management on butterfly faunal composition. Biodiversity & Conservation, 10, 1757?1785. ",https://doi.org/10.1023/A:1012051510584,203
lepidoptera_Symonds_et_al_2012,"Symonds, M. R., Johnson, T. L., & Elgar, M. A. (2012). Pheromone production, male abundance, body size, and the evolution of elaborate antennae in moths. Ecology and Evolution, 2(1), 227?246. ",https://doi.org/10.1002/ece3.81,148
lepidoptera_Uhl_et_al_2021,"Uhl, B., Wîlfling, M., & Fiedler, K. (2021). Qualitative and quantitative loss of habitat at different spatial scales affects functional moth diversity. Frontiers in Ecology and Evolution, 9, 637371. ",https://doi.org/10.3389/fevo.2021.637371,744
lepidoptera_Wolfling_et_al_2020,"Wîlfling, M., Uhl, B., & Fiedler, K. (2020). Ecological Drift and Directional Community Change in an Isolated Mediterranean Forest Reserve?Larger Moth Species Under Higher Threat. Journal of Insect Science, 20(5), 7. ",https://doi.org/10.1093/jisesa/ieaa097,620
leptoceridae_Gullefors_and_Petersson_1993,"Gullefors, B., & Petersson, E. (1993). Sexual dimorphism in relation to swarming and pair formation patterns in Leptocerid caddisflies (Trichoptera: Leptoceridae). Journal of Insect Behavior, 6, 563?577. ",https://doi.org/10.1007/BF01048123,25
libellulidae_Suarez-Tovar_and_Sarmiento_2016,"Su†rez-Tovar, C., & Sarmiento, C. (2016). Beyond the wing planform: Morphological differentiation between migratory and nonmigratory dragonfly species. Journal of Evolutionary Biology, 29(4), 690?703. ",https://doi.org/10.1111/jeb.12830,78
limnephild_Muller_et_al_2013,"MÅller-Peddinghaus, E., & Hering, D. (2013). The wing morphology of limnephilid caddisflies in relation to their habitat preferences. Freshwater Biology, 58(6), 1138?1148. ",https://doi.org/10.1111/fwb.12114,31
mammalia_Soria_et_al_2021,"Soria, C. D., Pacifici, M., Di Marco, M., Stephen, S. M., & Rondinini, C. (2021). COMBINE: a coalesced mammal database of intrinsic and extrinsic traits. Ecology. ",https://doi.org/10.1002/ecy.3344,1159
maxillopoda_manual_addition_unpublished,"Portal, M. S. I. (n.d.). Website containing maxillopoda body size data. ",http://species-identification.org/,2
mecoptera_Hartbauer_et_al_2015,"Hartbauer, M., Gepp, J., Hinteregger, K., & KoblmÅller, S. (2015). Diversity of wing patterns and abdomen-generated substrate sounds in 3 European scorpionfly species. Insect Science, 22(4), 521?531. ",https://doi.org/10.1111/1744-7917.12139,7
megachilidae_Hofmann_et_al_2017,"Hofmann, M. M., Fleischmann, A., & Renner, S. S. (2020). Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances. Journal of Hymenoptera Research, 77, 105?117. ",https://www.doi.org/10.3897/jhr.77.51182,9
megachilidae_Sheffield_et_al_2011,"Sheffield, C. S., Ratti, C., Packer, L., & Griswold, T. (2011). Leafcutter and mason bees of the genus Megachile Latreille (Hymenoptera: Megachilidae) in Canada and Alaska. Canadian Journal of Arthropod Identification, 18, 1?107. ",https://www.doi.org/10.3752/cjai.2011.18,16
melipagidae_Symonds_et_al_2006,"Symonds, M. R., Christidis, L., & Johnson, C. N. (2006). Latitudinal gradients in abundance, and the causes of rarity in the tropics: A test using Australian honeyeaters (Aves: Meliphagidae). Oecologia, 149, 406?417. ",https://doi.org/10.1007/s00442-006-0456-6,36
membracidae_Burrows_2013,"Burrows, M. (2013). Jumping mechanisms of treehopper insects (Hemiptera, Auchenorrhyncha, Membracidae). Journal of Experimental Biology, 216(5), 788?799. ",https://doi.org/10.1242/jeb.078741,3
miridae_Sanchez_and_Cassis_2018,"Sanchez, J. A., & Cassis, G. (2018). Towards solving the taxonomic impasse of the biocontrol plant bug subgenus Dicyphus (Dicyphus)(Insecta: Heteroptera: Miridae) using molecular, morphometric and morphological partitions. Zoological Journal of the Linnean Society, 184(2), 330?406. ",https://doi.org/10.1093/zoolinnean/zly005,3
mutillidae_Wilson_et_al_2013,"Wilson, J. S., Jahner, J. P., Williams, K. A., & Forister, M. L. (2013). Ecological and evolutionary processes drive the origin and maintenance of imperfect mimicry. PloS One, 8(4), e61610. ",https://doi.org/10.1371/journal.pone.0061610,4
neuroptera_Burrows_and_Dorosenko_2014,"Burrows, M., & Dorosenko, M. (2014). Jumping mechanisms in lacewings (Neuroptera, Chrysopidae and Hemerobiidae). Journal of Experimental Biology, 217(23), 4252?4261. ",https://doi.org/10.1242/jeb.110841,1
noctuidae_Betzholtz_and_Franzen_2011,"Betzholtz, P. E., & Franzen, M. (2011). Mobility is related to species traits in noctuid moths. Ecological Entomology, 36(3), 369?376. ",https://doi.org/10.1111/j.1365-2311.2011.01281.x,1609
nymphalidae_Marini-Filho_and_Martins_2010,"Marini-Filho, O. J., & Martins, R. P. (2010). Nymphalid butterfly dispersal among forest fragments at Serra da Canastra National Park, Brazil. Journal of Insect Conservation, 14, 401?411. ",https://doi.org/10.1007/s10841-010-9271-9,6
odonata_Bowler_et_al_2021,"Bowler, D. E., Eichenberg, D., Conze, K.-J., Suhling, F., Baumann, K., Benken, T., Bînsel, A., Bittner, T., Drews, A., GÅnther, A., & others. (2021). Winners and losers over 35 years of dragonfly and damselfly distributional change in Germany. Diversity and Distributions, 27(8), 1353?1366. ",https://doi.org/10.1111/ddi.13274,268
odonata_Ilvonen_and_Suhonen_2016,"Ilvonen, J. J., & Suhonen, J. (2016). Phylogeny affects host?s weight, immune response and parasitism in damselflies and dragonflies. Royal Society Open Science, 3(11), 160421. ",https://doi.org/10.1098/rsos.160421,86
odonata_Rocha-Ortega_et_al_2020,"Rocha-Ortega, M., Rodr°guez, P., Bried, J., Abbott, J., & C¢rdoba-Aguilar, A. (2020). Why do bugs perish? Range size and local vulnerability traits as surrogates of Odonata extinction risk. Proceedings of the Royal Society B, 287(1924), 20192645. ",https://doi.org/10.1098/rspb.2019.2645,401
odonata_Serrano-Meneses_et_al_2008,"Serrano-Meneses, M., Cordoba-Aguilar, A., Azpilicueta-Amor°n, M., Gonz†lez-Soriano, E., & Szekely, T. (2008). Sexual selection, sexual size dimorphism and Rensch?s rule in Odonata. Journal of Evolutionary Biology, 21(5), 1259?1273. ",https://doi.org/10.1111/j.1420-9101.2008.01567.x,239
odonata_Waller_et_al_2019,"Waller, J. T., Willink, B., Tschol, M., & Svensson, E. I. (2019). The odonate phenotypic database, a new open data resource for comparative studies of an old insect order. Scientific Data, 6(1), 316. ",https://doi.org/10.1038/s41597-019-0318-9,804
orthoptera_Bakewell_et_al_2020,"Bakewell, A. T., Davis, K. E., Freckleton, R. P., Isaac, N. J., & Mayhew, P. J. (2020). Comparing life histories across taxonomic groups in multiple dimensions: How mammal-like are insects? The American Naturalist, 195(1), 70?81. ",https://doi.org/10.1086/706195,227
orthoptera_Hochkirch_unpublished,"Hochkirch, A., & Grîning, J. (2008). Sexual size dimorphism in Orthoptera (sens. Str.)?A review. Journal of Orthoptera Research, 17(2), 189?196. ",https://doi.org/10.1665/1082-6467-17.2.189,217
pentatomidae_manual_addition_unpublished,"Agriculture, O. D. of. (n.d.). Stink bugs of Oregon. ",https://www.oregon.gov/oda/shared/Documents/Publications/IPPM/StinkBugGuide.pdf,18
plantae_Kattge_et_al_2019,"Boenisch, G., & Kattge, J. (2012). Plant Trait Database Website. ",https://www.try-db.org/TryWeb/Home.php,15210
polyplacophora_Galeana-Rebolledo_et_al_2014,"Galeana-Rebolledo, L., Flores-Garza, R., Reyes-G¢mez, A., Garc°a-Ib†§ez, S., Flores-Rodr°guez, P., Torreblanca-Ram°rez, C., & ValdÇs-Gonz†lez, A. (2014). Species richness and community structure of class Polyplacophora at the intertidal rocky shore on the marine priority region no. 33, Mexico. Open Journal of Ecology, 2014. ",https://www.doi.org/10.4236/oje.2014.42006,1
pomacanthidae_Baraf_et_al_2019,"Baraf, L. M., Pratchett, M. S., & Cowman, P. F. (2019). Ancestral biogeography and ecology of marine angelfishes (F: Pomacanthidae). Molecular Phylogenetics and Evolution, 140, 106596. ",https://doi.org/10.1016/j.ympev.2019.106596,25
pomacanthidae_Frederich_et_al_2017,"FrÇdÇrich, B., Santini, F., Konow, N., Schnitzler, J., Lecchini, D., & Alfaro, M. E. (2017). Body shape convergence driven by small size optimum in marine angelfishes. Biology Letters, 13(6), 20170154. ",https://doi.org/10.1098/rsbl.2017.0154,24
pomacentridae_Barneche_et_al_2009,"Barneche, D. R., Floeter, S. R., Ceccarelli, D. M., Frensel, D. de M. B., Dinslaken, D. F., M†rio, H., & Ferreira, C. E. (2009). Feeding macroecology of territorial damselfishes (Perciformes: Pomacentridae). Marine Biology, 156, 289?299. ",https://doi.org/10.1007/s00227-008-1083-z,7
